delete,ln_pop_den,pct_65_over,pct_age_18_29,pct_bach,pct_black,pct_fb,pct_hisp,pct_uninsured,totalvotes,id,Intercept,X,Y,se0,b0,sepct_black,bpct_black,sepct_hisp,bpct_hisp,sepct_65_over,bpct_65_over,sepct_age_18_29,bpct_age_18_29,sepct_fb,bpct_fb,sepct_uninsured,bpct_uninsured,sepct_bach,bpct_bach,seln_pop_den,bln_pop_den
2892,0.443143902,-0.003328822,0.076804863,0.455822293,-0.418241131,0.1918909,-0.183787565,0.145513498,-0.044074251,51165,1,-0.078874841,0.038511384,0.105217693,-0.291394115,0.076047709,0.158334264,0.244615257,-0.64968596,0.055750209,-0.020574025,0.035136283,-0.124157444,0.122399801,0.451095393,0.029084384,-0.014400556,0.052747779,0.079343154,0.067725231,0.146230478
2893,0.154180137,0.407060536,-0.482895968,-1.025027114,-0.556086089,-0.674506782,-0.594509179,0.025133568,-0.247475472,51167,1,-0.082095213,0.036934041,0.128365684,-0.251351158,0.103398828,0.19949653,0.31055277,-0.838439545,0.054867255,-0.051149464,0.043744126,-0.04606508,0.204293197,0.634926239,0.024500452,0.001810394,0.060076707,0.009987167,0.084020363,0.126676714
2894,-0.038818006,1.011844854,-0.624612913,-0.909499855,-0.58365508,-0.621462026,-0.580097895,-0.014993076,-0.264296923,51169,1,-0.082601849,0.036713696,0.128291173,-0.270662916,0.105455982,0.183692022,0.31024738,-0.746141009,0.053365967,-0.041927061,0.046385346,-0.037634742,0.203872548,0.564772919,0.023953927,0.004278399,0.06014279,0.010956828,0.087081043,0.173241938
2895,0.384059915,0.515057736,-0.493760638,-0.153321435,-0.494055858,-0.002606539,-0.162170638,-0.275816257,-0.178652545,51171,1,-0.078571628,0.038857718,0.105654322,-0.326403196,0.078378272,0.171443707,0.239602414,-0.593630397,0.056887932,-0.000434693,0.037429433,-0.13654638,0.115872038,0.367734634,0.029738219,-0.016512413,0.053406963,0.091710473,0.070008703,0.213043017
2896,0.257430304,0.536657176,-0.255141881,-0.77296764,-0.473379114,-0.586098855,-0.53686404,0.045196889,-0.242463121,51173,1,-0.081537136,0.036844852,0.121545709,-0.249681724,0.092760137,0.17586338,0.300312419,-0.925407346,0.05484185,-0.065000626,0.041173312,-0.048272522,0.196702759,0.702604138,0.025187896,7.42E-05,0.058978869,0.019320394,0.080785726,0.070927033
2897,-0.21860989,0.126267817,-0.638525298,-0.373873474,1.587403006,-0.745233123,-0.558480967,-0.576766083,-0.271534759,51175,1,-0.077106702,0.036719894,0.09860496,-0.361019875,0.048763134,0.032113522,0.278791828,-0.733093074,0.054688833,-0.104746661,0.046259691,-0.11760939,0.171749998,0.729018682,0.030957951,-0.015435267,0.067249761,0.042930117,0.081367138,0.122243428
2898,1.15117928,-1.104900259,0.000511962,1.022956108,0.484643343,0.368706754,0.025176064,-0.356069544,0.166417776,51177,1,-0.077655492,0.038186078,0.089798246,-0.394284598,0.053703838,0.073804999,0.215609467,-0.501518174,0.049520149,-0.029180018,0.036505764,-0.141326163,0.100804641,0.339267624,0.030599755,-0.017808056,0.05200401,0.08895914,0.067107501,0.212248576
2899,1.439835809,-1.882480096,0.400676249,1.884159309,0.594919309,0.899154314,0.255756619,-0.436322831,0.195235455,51179,1,-0.077457971,0.038420783,0.090228977,-0.426422949,0.055557274,0.093134123,0.209111707,-0.463543122,0.05019452,-0.015321217,0.038232537,-0.151490283,0.09527964,0.271731969,0.031010264,-0.01921069,0.052089884,0.095869617,0.068511959,0.266536174
2900,-0.365228228,0.623054935,-0.464926619,-0.142818957,2.435149497,-0.639143611,-0.637743033,0.446463323,-0.307055623,51181,1,-0.076899734,0.037110217,0.097799889,-0.404867111,0.049064738,0.051620509,0.264299023,-0.625401518,0.05298498,-0.086962706,0.045600286,-0.134879084,0.15665237,0.590372971,0.031283711,-0.017332384,0.064937891,0.053241277,0.079024923,0.18098221
2901,-0.368268413,-0.327320421,1.037965931,-0.972514724,3.186404517,-0.426964587,-0.464807617,0.085323533,-0.302932128,51183,1,-0.077262187,0.036921187,0.094672686,-0.355252907,0.04643161,0.031012462,0.263066783,-0.688834948,0.05224185,-0.094386135,0.042987313,-0.119079948,0.157219599,0.663732604,0.030757409,-0.015473801,0.06333529,0.050460186,0.076859109,0.119724355
